Date,Category,Amount,Payment_Method,Description
2025-04-13,Shopping,3696,Credit Card,Bus Fare
2025-06-29,Bills,3383,UPI,Lunch
2025-04-03,Entertainment,1703,UPI,Bus Fare
2025-01-15,Entertainment,166,Cash,Lunch
2025-04-17,Bills,332,Debit Card,Medicine
2025-03-13,Education,2256,Debit Card,Medicine
2025-01-21,Healthcare,1269,Credit Card,Books
2025-04-13,Transport,2258,Credit Card,Lunch
2025-05-02,Entertainment,4306,Credit Card,Groceries
2025-03-16,Shopping,1593,Cash,Online Shopping
2025-03-29,Transport,4818,Debit Card,Books
2025-04-27,Shopping,4107,UPI,Books
2025-04-10,Education,2572,Cash,Groceries
2025-04-14,Food,2760,UPI,Online Shopping
2025-06-01,Transport,2839,UPI,Bus Fare
2025-05-11,Entertainment,1861,Cash,Online Shopping
2025-05-30,Transport,3614,UPI,Bus Fare
2025-02-22,Transport,2075,Debit Card,Medicine
2025-01-02,Transport,2462,UPI,Movie
2025-03-29,Healthcare,976,Debit Card,Medicine
2025-06-07,Transport,3912,Debit Card,Medicine
2025-02-07,Shopping,3548,Debit Card,Movie
2025-05-10,Food,1412,Credit Card,Online Shopping
2025-01-21,Education,1560,UPI,Books
2025-06-10,Bills,2809,Cash,Online Shopping
2025-02-27,Transport,2424,Cash,Bus Fare
2025-01-22,Entertainment,1833,UPI,Groceries
2025-03-30,Transport,1705,Credit Card,Bus Fare
2025-02-18,Entertainment,2663,Credit Card,Groceries
2025-02-28,Shopping,3521,Debit Card,Medicine
2025-06-19,Entertainment,3617,UPI,Movie
2025-01-15,Bills,2497,UPI,Medicine
2025-06-24,Food,3835,Cash,Lunch
2025-02-20,Entertainment,2970,UPI,Online Shopping
2025-04-18,Entertainment,1260,Credit Card,Groceries
2025-02-24,Food,4954,UPI,Bus Fare
2025-03-05,Bills,342,Cash,Movie
2025-05-11,Transport,2690,Debit Card,Groceries
2025-02-20,Entertainment,1163,Cash,Bus Fare
2025-05-15,Food,4424,Cash,Online Shopping
2025-01-21,Shopping,2695,Debit Card,Medicine
2025-03-14,Food,1019,Cash,Online Shopping
2025-06-16,Shopping,105,Cash,Electricity Bill
2025-01-18,Bills,567,UPI,Lunch
2025-05-12,Transport,4270,UPI,Electricity Bill
2025-03-30,Food,103,Debit Card,Movie
2025-03-01,Education,745,UPI,Groceries
2025-01-14,Education,217,UPI,Movie
2025-01-09,Healthcare,3028,Cash,Medicine
2025-03-31,Entertainment,2651,Credit Card,Bus Fare
2025-02-22,Bills,4389,UPI,Online Shopping
2025-05-10,Food,946,Credit Card,Electricity Bill
2025-03-25,Education,2862,UPI,Books
2025-04-02,Entertainment,1241,UPI,Electricity Bill
2025-04-21,Education,1910,Debit Card,Medicine
2025-06-21,Food,823,Debit Card,Electricity Bill
2025-01-08,Shopping,324,Debit Card,Medicine
2025-06-24,Food,4727,Credit Card,Books
2025-02-04,Healthcare,4308,Cash,Movie
2025-03-22,Food,4754,UPI,Online Shopping
2025-06-13,Food,2148,UPI,Groceries
2025-02-19,Healthcare,4849,UPI,Bus Fare
2025-04-14,Bills,4515,Credit Card,Groceries
2025-05-12,Food,1673,Debit Card,Movie
2025-01-02,Healthcare,1928,Cash,Bus Fare
2025-05-14,Entertainment,2017,Credit Card,Electricity Bill
2025-02-23,Shopping,4334,Debit Card,Books
